class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
haste	hue	0.0024885240460540948	0.003343134998745781	0.004478124840643806	0.006023519380177554	0.008165550227006567	0.01115321552770723	0.0152875208289465	0.020877271322928343	0.028150976057449244	0.03713247749101322	0.047513371222757714	0.05857548169915016	0.06921692239159784	0.0781080956211017	0.08395611858521637	0.08580758097073961	0.08329379961832856	0.07673440549658711	0.06706181115625859	0.05559210261458052	0.04372036915516908	0.032638150144986465	0.023150971238853513	0.015627317954265984	0.010060778205280738	0.0061959161390804365	0.003663847964097696	0.002089286754433967	0.001153836303882795	0.0006191548368098778	0.00032319879142888886	0.00016383494915197882	8.027899666518611e-05	3.7769139937717844e-05	1.693190752848737e-05	7.179454967953005e-06	2.8606709853392965e-06	1.0654154573889133e-06	3.6934412818306546e-07	1.1880214886714238e-07	3.5372360266093636e-08	9.731508562350869e-09	2.4705777185006033e-09	5.782138203225765e-10	1.2465903495359988e-10	2.474309182209341e-11	4.519432479227733e-12	7.593795339041013e-13	1.1734219335102067e-13	1.6671225067591704e-14	2.1772758378004003e-15	2.61348289501389e-16	2.8828625775146287e-17	2.921945681430244e-18	2.720925159553322e-19	2.3276355542677573e-20	1.8290661143452196e-21	1.3201574514827839e-22	8.75130997869635e-24	5.32774374172882e-25	2.978591220679682e-26	1.5291581098041388e-27	7.208524060816799e-29	3.120133128415969e-30	1.2399799367442675e-31	4.524330960676891e-33	1.5155734927051117e-34	4.660886592069552e-36	1.3158793418311428e-37	3.410418913729721e-39	8.11395490149284e-41	1.7720688876077216e-42	3.552568921633084e-44	6.537471576592716e-46	1.1042684786823721e-47	1.7121030261438223e-49	2.4365136406483066e-51	3.182624773981584e-53	3.815698644816887e-55	4.198842471797908e-57	4.240794654354198e-59	3.931177927697549e-61	3.3446598003056776e-63	2.6117482647679906e-65	1.8717912558997167e-67	1.23119584901284e-69	7.4325467023887e-72	4.1179996480736994e-74	2.093971226011045e-76	9.772116772891296e-79	4.1854107799237574e-81	1.6451941828580953e-83	5.9350866428839055e-86	3.2683477199222984e-88	3.934995332555976e-86	1.0902248882901824e-83	2.7720641746857336e-81	6.468434681146333e-79	1.38517244358984e-76	2.7221823881141064e-74	4.909523333112823e-72	8.125875621289327e-70	1.2342687928065269e-67	1.720513422656919e-65	2.2009750747510658e-63	2.5839311112346763e-61	2.783911925408523e-59	2.752572798282812e-57	2.4976461398852094e-55	2.0798489243691842e-53	1.5894302538570926e-51	1.1147050993384842e-49	7.174429254576368e-48	4.237635740414149e-46	2.297041459915218e-44	1.142675868479464e-42	5.216586013104084e-41	2.1855406730343957e-39	8.403123739408421e-38	2.9650508954940157e-36	9.601372335027452e-35	2.8532809974714972e-33	7.781552442853814e-32	1.947596310582537e-30	4.4734573289446806e-29	9.429750193020134e-28	1.8241928134791196e-26	3.2385933915879243e-25	5.2766604603476615e-24	7.890079682731525e-23	1.0827454393188654e-21	1.3636353570170512e-20	1.5761679666024313e-19	1.6720380776761073e-18	1.6279402029757222e-17	1.4547598739256728e-16	1.1932194442007437e-15	8.983503113328195e-15	6.208602581937323e-14	3.9391181294464666e-13	2.294593217337274e-12	1.2273596418545457e-11	6.029377823582925e-11	2.720852203317277e-10	1.1282227651516467e-09	4.30035203792551e-09	1.507438894013357e-08	4.862570684258468e-08	1.4444943311776702e-07	3.9555362915371753e-07	9.996457433192983e-07	2.334831757900665e-06	5.048489322986972e-06	1.0125020038195426e-05	1.8874572487994543e-05	3.277764028834727e-05	5.314800572907238e-05	8.064666420806116e-05	0.00011478111430671893	0.0001536243928085138	0.000194026779870922	0.00023248828427276178	0.00026655487891664916	0.0002961675320128298	0.00032410489368615863	0.00035488359009323644	0.0003923364491660921	0.00043715391092249045	0.0004861006149378476	0.0005337883306732271	0.0005761031739428786	0.0006129007108118036	0.0006477066061165527	0.000684107430643654	0.0007210253853505591	0.0007502578700775619	0.0007584864826855736	0.0007331066963394748	0.0006686681852656882	0.0005702409100787593	0.00045191732253864524	0.0003315344594343632	0.00022460119561817286	0.00014029606611933558	8.072458048824567e-05	4.2758047775547346e-05	2.0840071439697413e-05	9.343867454676134e-06	3.853153980189083e-06	1.4612049422013486e-06	5.095332848251236e-07	1.633712544352794e-07	4.816206353310542e-08	1.3054270039300086e-08	3.253230515760522e-09	7.454042789014478e-10	1.5703118269561916e-10	3.041586455185652e-11	5.4167424996066724e-12	8.869580029224954e-13	1.3353553367343295e-13	1.8485031675282113e-14	2.352729312444267e-15	2.7532708727868577e-16	2.962413708877154e-17	2.930586364557956e-18	2.665417762632996e-19	2.2287716174699307e-20	1.7133286966090284e-21	1.2108039967529908e-22	7.865861118050648e-24	4.6971825458504535e-25	2.578251311128751e-26	1.300727378272683e-27	6.031093079527304e-29	2.5699763853588773e-30	1.0063744551619351e-31	3.62127137011814e-33	1.1973110123857905e-34	3.637230163298135e-36	1.0151404920384418e-37	2.602837746331678e-39	6.130672763654401e-41	1.3264302146498844e-42	2.6360386124295294e-44	4.811570838802608e-46	8.066168517367706e-48	1.241856579368158e-49	1.7558149677459173e-51	2.279657416462286e-53	2.7178490262870256e-55	2.975283275072462e-57	2.9906244956622096e-59	2.7600077525400905e-61	2.3386152572063324e-63	1.8192543914635083e-65	1.2992755033444083e-67	8.518635999050368e-70	5.127297232878601e-72	2.832995888919817e-74	1.4369198057100807e-76	6.690199400742977e-79	2.8592820290510454e-81	1.1217043317486864e-83	4.039205154753786e-86	1.3350659545089506e-88	4.050349603391042e-91	1.1278710208053102e-93	2.882691057449256e-96	6.762441262374379e-99	1.4560324090182077e-101	2.877374904253939e-104	5.218861925505371e-107	8.687713400740889e-110	1.3273398933539965e-112	1.861241445013429e-115
lesion	hue	0.004184995524696685	0.004664119176066029	0.005171065972101353	0.005704524561262294	0.006262762872152547	0.006843565103471236	0.007444169431037203	0.00806121392925567	0.008690698992685101	0.009327974522234451	0.009967759214925499	0.010604197457945401	0.011230956664791465	0.011841364588915222	0.012428582483317513	0.0129858062897338	0.013506484728368537	0.013984540613394358	0.014414580294199616	0.014792076080979127	0.015113507983468197	0.015376454031566787	0.015579622630010994	0.015722825425576997	0.0158068944972291	0.01583355270577008	0.015805250154888803	0.015724982407863394	0.01559610703301484	0.015422174103776056	0.015206783595240142	0.014953478573910774	0.01466567823019633	0.014346649813572112	0.013999514059398754	0.01362727530796434	0.01323286559542792	0.012819191697774429	0.012389175344341577	0.01194577928132111	0.011492015094016128	0.011030932147961425	0.01056559015170275	0.01009902023670795	0.00963418080168586	0.009173914571474559	0.00872091245099696	0.008277688046494381	0.007846564522338006	0.007429673153360873	0.007028960896432977	0.0066462028474696755	0.006283014767503776	0.005940861018839278	0.005621054183334301	0.005324744160732247	0.005052896408260791	0.004806260890128185	0.004585334972952275	0.004390324696577272	0.004221109416445168	0.004077214699715211	0.003957797609392658	0.0038616472631520906	0.003787202002805187	0.003732582881711371	0.0036956416891057533	0.003674020561158067	0.0036652194939312357	0.0036666678129796465	0.0036757958331547595	0.0036901034639472393	0.0037072232452267434	0.0037249760887786507	0.003741418721042525	0.0037548823771969705	0.003764002641112034	0.003767740466501271	0.003765394402677408	0.0037566039626870233	0.003741343999437955	0.0037199099718855724	0.003692894135324029	0.003661152986699132	0.0036257667085165275	0.0035879918229714592	0.003549208713242475	0.0035108660124731745	0.003474424039771736	0.0034412994428620627	0.0034128129918345263	0.003390142097501194	0.00337427917030135	0.0033659964766871277	0.0033658177737436396	0.0033739967755257224	0.0033905024595569135	0.003415011350886548	0.0034469071730322902	0.0034852885434814816	0.0035289856088553816	0.0035765865535736133	0.0036264746900623464	0.003676876304903243	0.0037259186076307035	0.003771696083353311	0.0038123424197020733	0.003846104134637368	0.003871411258893541	0.003886940090737108	0.00389166325614742	0.0038848831134626126	0.0038662458870347203	0.003835735659492872	0.0037936492843955168	0.00374055514588499	0.003677240232357957	0.003604650989221313	0.003523833729448915	0.0034358799685832745	0.003341880980793047	0.0032428943114532864	0.0031399231686786316	0.0030339078240415544	0.002925726643485335	0.0028162033529736323	0.002706116744944027	0.0025962092744341815	0.002487191799058527	0.002379742920649086	0.0022745027686205976	0.002172062388355275	0.002072950945344085	0.001977623565054804	0.001886452714599676	0.0017997255974322173	0.0017176491611685578	0.0016403631610214565	0.001567960465747724	0.0015005126356188454	0.001438097916158856	0.0013808283027011933	0.0013288723001812362	0.0012824704207610288	0.0012419412546423251	0.0012076769923340446	0.0011801284166339274	0.0011597804626679224	0.0011471203274280239	0.00114260069861531	0.001146600919971821	0.00115938882528495	0.0011810856138453115	0.0012116356005659001	0.001250782066453176	0.0012980498696372083	0.001352735042588797	0.0014139013508092382	0.0014803837321918916	0.0015507986410763608	0.0016235615175339668	0.0016969117991868531	0.0017689459936185705	0.001837659251437735	0.0019009955703017092	0.001956906206935603	0.0020034151118229226	0.002038689307949755	0.0020611112230407907	0.0020693491851969613	0.002062421735680061	0.0020397512109316977	0.0020012022725344226	0.001947101742304618	0.0018782371973402672	0.0017958332092900253	0.001701505740688612	0.0015971968766719494	0.0014850936009672923	0.001367535560959863	0.001246917580038662	0.001125592986071127	0.0010057836092328806	0.0008895015952772737	0.0007784870686103369	0.0006741642898067069	0.0005776174336231833	0.0004895856190021148	0.00041047549049985237	0.0003403885903213086	0.0002791600419385118	0.00022640471732300014	0.00018156706608349186	0.00014397109766848027	0.00011286755420411432	8.747600567424658e-05	6.702035397777975e-05	5.0756969535279636e-05	3.799534099775094e-05	2.8111652482556966e-05	2.0556091551427122e-05	1.4854931685582503e-05	1.0608537381603633e-05	7.486430834405996e-06	5.22046482874081e-06	3.5969965552987154e-06	2.4487790349847395e-06	1.6471035656720332e-06	1.0945552396661084e-06	7.185952896693166e-07	4.6606454094904725e-07	2.9861287421948037e-07	1.8899840426212704e-07	1.1816309612211851e-07	7.297384741747357e-08	4.451459001705666e-08	2.6821056734641704e-08	1.5961617368117225e-08	9.38199137678402e-09	5.44653594637997e-09	3.1227949543007122e-09	1.7682973048802105e-09	9.888882323970694e-10	5.461488522894318e-10	2.9787832341520595e-10	1.6044395814980534e-10	8.534091757548424e-11	4.4826408084058704e-11	2.3251276664419363e-11	1.1909396212508872e-11	6.023610760965711e-12	3.0084492732937697e-12	1.4836853534490528e-12	7.225188683530297e-13	3.4742417203129567e-13	1.6495661805991506e-13	7.733462323361532e-14	3.5798808711659856e-14	1.6362497820356048e-14	7.384367506209459e-15	3.2904561528245466e-15	1.4476868270996356e-15	6.288768636420773e-16	2.6972799277956724e-16	1.1422282863102498e-16	4.775771175259366e-17	1.971492708526139e-17	8.035361006558057e-18	3.2334918709447816e-18	1.2846713602905335e-18	5.039228332592002e-19	1.9515770431840116e-19	7.461997109216724e-20	2.816892689660223e-20	1.0498556956705484e-20	3.863058719757599e-21
background	hue	0.016482317837645918	0.01636391074415873	0.01596720758397627	0.015318190665548698	0.014456609007564198	0.013432891779327756	0.012304324471425316	0.011130916322419063	0.00997138914733462	0.008879660337558298	0.007902090645671484	0.007075640958803814	0.006426954025726756	0.005972267038086618	0.005717983326989589	0.005661692960420516	0.0057934318728859084	0.0060970002752369495	0.006551212497835222	0.007131009764268661	0.007808423258802868	0.00855341842545347	0.0093346774063428	0.010120383242989297	0.010879058544196688	0.01158048689860012	0.012196713099883807	0.012703084616608873	0.013079267773882035	0.013310152869238088	0.013386556292835654	0.013305635947201664	0.013070957921681902	0.012692184471874902	0.012184391307923644	0.011567060584249222	0.010862829403783305	0.010096097571639333	0.009291609782336827	0.008473125376509	0.007662274223801163	0.006877672840602548	0.006134344340261582	0.00544345350472076	0.004812338205016203	0.0042447938505781905	0.003741550644940299	0.0033008750336778014	0.0029192265282421788	0.00259190780643156	0.0023136577348336664	0.0020791515686722326	0.0018833879486390552	0.001721956624566969	0.0015911927561852123	0.001488232388210667	0.0014109890405025216	0.0013580735509658918	0.0013286789854250474	0.0013224504258654267	0.0013393566490878753	0.0013795778635520499	0.001443421253068904	0.0015312741676447032	0.0016436030746066826	0.0017810041532370475	0.0019443078053755672	0.002134733539183318	0.0023540831978103357	0.0026049495425702943	0.002890904838525266	0.0032166223586477982	0.0035878754505067243	0.004011357222263138	0.004494271990389111	0.0050436693618415756	0.005665523377469555	0.006363600317598856	0.0071382047677610435	0.00798493728917983	0.008893630092407494	0.009847641088488625	0.01082367499922789	0.011792259760822408	0.012718938960906348	0.01356615349768727	0.01429568975283717	0.014871482112034921	0.015262489991018511	0.015445336606871852	0.015406406467036195	0.01514315185997125	0.014664448919931532	0.013989957928245558	0.013148562980121757	0.01217607453338977	0.011112458590678607	0.009998897529170832	0.008874986039262128	0.007776324661576992	0.006732702491585471	0.005766973060971489	0.0048946376104667755	0.004124070818945007	0.0034572649158174456	0.002890933799559467	0.002417809561111628	0.0020279761459459427	0.0017101128189974616	0.0014525566930366266	0.0012441322596447584	0.001074731319752466	0.0009356554044012255	0.0008197529796593814	0.0007213952790979739	0.0006363384769632396	0.0005615177488612214	0.0004948124614000513	0.00043481312356167547	0.0003806113940364558	0.0003316255803722581	0.0002874665078200713	0.00024784283145325934	0.00021250095237785913	0.00018119256710513366	0.0001536622432638038	0.000129647889568566	0.00010888815791112728	9.11322945610438e-05	7.614943341240059e-05	6.373558403215873e-05	5.3717503744728034e-05	4.5953243819392124e-05	4.032948408528492e-05	3.675591800175631e-05	3.5157030877365025e-05	3.546171913035054e-05	3.759138202712723e-05	4.144738518532543e-05	4.6899105748029026e-05	5.377404373790333e-05	6.185162507950855e-05	7.086223645553086e-05	8.049265783010719e-05	9.039838394239419e-05	0.00010022240478604192	0.00010961896572235184	0.00011827982040945986	0.00012595971788561535	0.00013249750936595922	0.00013782944831817039	0.0001419920308063607	0.0001451130183257189	0.00014739093432936096	0.00014906507829915642	0.00015037966655929367	0.00015154680765003256	0.00015271343766975692	0.00015393697214222541	0.00015517330377691949	0.0001562790514502762	0.0001570279140982251	0.00015713893434830565	0.000156312763209147	0.00015427091393194095	0.00015079266852514585	0.0001457447871715845	0.00013910036346464168	0.00013094484627679885	0.00012146912047729161	0.0001109512965634136	9.973023692146996e-05	8.81746623379835e-05	7.665186535995269e-05	6.549964854951657e-05	5.5004240186312e-05	4.538581037798111e-05	3.679202617213539e-05	2.929903165300327e-05	2.2918452676805708e-05	1.760857361234829e-05	1.3287716523589613e-05	9.848019205633253e-06	7.168171300935594e-06	5.124129820683538e-06	3.597306996053128e-06	2.4801357599623793e-06	1.6792297752761851e-06	1.1165510422261863e-06	7.290857007989246e-07	4.6752885394973964e-07	2.9441965270918407e-07	1.8207600756504381e-07	1.1057716260909052e-07	6.594841783839323e-08	3.862505413324374e-08	2.2215662485818222e-08	1.2548003452008763e-08	6.960092152122234e-09	3.791230607379914e-09	2.0280102860923663e-09	1.065331476004956e-09	5.495711835174303e-10	2.784118302505443e-10	1.385083382807471e-10	6.766882331781607e-11	3.2465775446863804e-11	1.5296334410420442e-11	7.0773940951813736e-12	3.2157612674140606e-12	1.4348900500448721e-12	6.287497798093508e-13	2.705586737493811e-13	1.1433243870245133e-13	4.7446246461262354e-14	1.9335643925752542e-14	7.73819738449398e-15	3.0412025811111123e-15	1.1737491204758418e-15	4.448663852881603e-16	1.6558015457803975e-16	6.052173327600759e-17	2.1723950846853666e-17	7.657564193073995e-18	2.6507383487768175e-18	9.010885191096048e-19	3.0081011213780055e-19	9.8614729276338e-20	3.1747937889571755e-20	1.0037224478911645e-20	3.1162775578068218e-21	9.501299472866596e-22	2.844816521890981e-22	8.364690878805166e-23	2.4152934873059738e-23	6.848797166972165e-24	1.9071422097763046e-24	5.215263211574599e-25	1.4005343513625182e-25	3.69347937845464e-26	9.565374358356041e-27	2.432722906009942e-27	6.075859141711391e-28	1.4902088192259523e-28	3.5893097724429405e-29	8.489832721650703e-30	1.972021769637414e-30	4.498302489695391e-31	1.007650645749095e-31	2.2166427181942503e-32	4.788569436374192e-33	1.015874969640827e-33	2.1164066139683495e-34	4.3299446037941216e-35	8.699413014812236e-36	1.716413570649838e-36
haste	saturation	2.4561687802796438e-05	4.146027983350235e-05	6.700869900540737e-05	0.0001038974074981757	0.00015491422421057152	0.00022275354784027422	0.0003098953574522379	0.00041859566837484203	0.0005509593904798596	0.0007089810794082629	0.0008943886771485547	0.0011081571579933105	0.0013496853298647614	0.0016158092421291066	0.0018999784223965054	0.0021919646122173183	0.0024783694193757488	0.0027439766581937417	0.002973738884112989	0.0031549896637138187	0.0032793981683324133	0.003344245255122066	0.0033527690145794546	0.003313545803797371	0.0032390797145964373	0.003143922268300294	0.0030427103409947963	0.0029484935181114755	0.0028716404980244263	0.0028194935037376486	0.0027968013587641298	0.0028068179128548356	0.002852810518791836	0.0029395986440404866	0.0030746675949352123	0.0032684213977010835	0.0035332888110944267	0.003881677542537279	0.004323128115120435	0.004861342899739103	0.005491931778828903	0.006201631107306803	0.006969404184573014	0.00776930482630252	0.008574443834891504	0.00936102735374614	0.01011137785238592	0.01081514420644859	0.011468475021295207	0.012071583063987522	0.012625638180728089	0.013130101290870333	0.013581383752959694	0.013973177002149782	0.01429817260267882	0.01455044409106327	0.014727659617890042	0.014832530984768565	0.014873304222604519	0.014863422714951256	0.014820592421005066	0.014765367467019048	0.014719216561184308	0.014702015225838564	0.014729116860496706	0.014808501587216293	0.014938782473968985	0.015108863137160792	0.015299705818231396	0.01548806870927453	0.015651421329941993	0.015772800259274928	0.015844306802884147	0.01586830816503126	0.01585605828770017	0.015824172420871065	0.01578993489199583	0.01576664766764427	0.015760125264947546	0.01576709824728869	0.01577582285927161	0.015768703391816696	0.01572628196443739	0.015631606930076297	0.015473852474940817	0.015250223181535204	0.014965659483006507	0.014630549355803752	0.014257309951387548	0.013857062744771458	0.013437523675626093	0.013002697641391768	0.012554225750117592	0.012093592667788863	0.011624115653026375	0.011151801150025436	0.010684675667257988	0.010230847944675868	0.009796079447206812	0.009381838702903513	0.008984632636893254	0.00859692820591753	0.008209387787493663	0.007813662693466016	0.007404795517542584	0.006982439785393759	0.0065505480297266385	0.006115733600273864	0.005684965213309473	0.005263440490079194	0.004853351104640237	0.0044538718435810105	0.004062243361705555	0.0036754542669839626	0.0032918845500492675	0.0029123713402910505	0.0025404268058168878	0.0021816525992105775	0.0018426369315011736	0.0015297202517319092	0.0012479704950788368	0.0010005684736263004	0.0007886396712431999	0.0006114417337585136	0.00046675818653283427	0.0003513557087902985	0.0002614092038834093	0.0001928541822458251	0.00014166568808958972	0.00010407801076864833	7.675456413681202e-05	5.690515353017989e-05	4.234068739632292e-05	3.145923412993755e-05	2.317011793996433e-05	1.677705663892465e-05	1.1849417330378295e-05	8.108781177786135e-06	5.34784267129044e-06	3.385485664790364e-06	2.05119990928903e-06	1.1869362392957594e-06	6.549891634199154e-07	3.443300969735422e-07	1.7231875114214615e-07	8.205111873167017e-08	3.715995094656038e-08	1.600276680159102e-08	6.551902450968786e-09	2.54998679776594e-09	9.4334003493336e-10	3.316891479853799e-10	1.1084283735053327e-10	3.520332265235433e-11	1.0625504094494461e-11	3.047883097995081e-12	8.308544365676575e-13	2.1524143196458314e-13	5.299056161847776e-14	1.2397697760667563e-14	2.756462635939397e-15	5.824125984430676e-16	1.1694355899543076e-16	2.231455597134999e-17	4.04637593041198e-18	6.972844562445778e-19	1.1418770051036694e-19	1.7770273899353973e-20	2.62805390274919e-21	3.6935135441285837e-22	4.9329913245808575e-23	6.2610359586038295e-24	7.5517431008751905e-25	8.655922512617867e-26	9.428544193259597e-27	9.759802738796364e-28	9.600692260973464e-29	8.974890587537195e-30	7.972983714179107e-31	6.730970522811454e-32	5.400072561954884e-33	4.117054311699577e-34	2.982899967138599e-35	2.053789239818856e-36	1.343810870967397e-37	8.355751518408842e-39	4.937396141220073e-40	2.772525313859988e-41	1.4795108577084306e-42	7.502843418769166e-44	3.61575253155434e-45	1.6559095256454357e-46	7.206752367203854e-48	2.9806273616055015e-49	1.1714961286545658e-50	4.375615187275023e-52	1.55311092172431e-53	5.238789106995262e-55	1.6792851490577373e-56	5.115440859686728e-58	1.4808353673414205e-59	4.0737612971829534e-61	1.0649996541986228e-62	2.6458696523259104e-64	6.246726802091558e-66	1.4015276484780743e-67	2.988243035736802e-69	6.0547365584835096e-71	1.165841946002132e-72	2.1332865304414605e-74	3.7095719162013623e-76	6.130042537158785e-78	9.626496796681825e-80	1.4366075433413343e-81	2.037384996759481e-83	2.745826893111567e-85	3.516724071939286e-87	4.2802439635583656e-89	4.950668447794794e-91	5.4415703732284766e-93	5.683943436398549e-95	5.642094216557229e-97	5.32225906269893e-99	4.7710808440103535e-101	4.064457908175125e-103	3.2904369575951184e-105	2.5314514810716057e-107	1.850762668220542e-109	1.285869641179097e-111	8.490010834741065e-114	5.327023778588095e-116	3.176333650777463e-118	1.7998349680488293e-120	9.69179778512438e-123	4.959536519440197e-125	2.4118091041108785e-127	1.1145764363271579e-129	4.89487801929749e-132	2.0428617616615843e-134	8.102166700596885e-137	3.0537146945455895e-139	1.0937569678383104e-141	3.7228736404317407e-144	1.2042061709736103e-146	3.7015915092554844e-149	1.0812875973262408e-151	3.001643026989245e-154	7.918482332552096e-157	1.9851345652162152e-159	4.729367254339478e-162	1.0707330744707193e-164	2.303692378063823e-167	4.710129439076137e-170	9.151795102189594e-173	1.689837033609259e-175	2.965162154708329e-178
lesion	saturation	0.002093410626949487	0.0026109915890526088	0.0032780120791765857	0.004132401155631962	0.005182580360609703	0.006394809152920017	0.007696260591894096	0.008994931687854866	0.010209091452461998	0.011293914145021525	0.012254174599408946	0.013138559274616034	0.01401930083789934	0.014966107871116841	0.0160237156120454	0.017198943500575697	0.018458709981104576	0.019737300501976786	0.020949873940399995	0.022008983917509353	0.02284092846638914	0.023398833583524136	0.023669874175156903	0.023675218157597336	0.02346295984504175	0.02309597061709387	0.022637771907156698	0.02213999492926512	0.021634625333502792	0.021132960534998392	0.020631151513711747	0.02011992915495515	0.019594576224662198	0.019061214997063786	0.01853714577430217	0.0180455516886065	0.017607193222283015	0.017232754631825418	0.016918926702647358	0.016649508669438658	0.0164006742626118	0.01614801768414155	0.015872637947592992	0.015564290572621759	0.015221005278327133	0.014845897018539137	0.014442767395397937	0.014012370604059455	0.013550906480564406	0.013051451002511719	0.012507827292878046	0.011919291150528491	0.011293909772851132	0.010648976041910709	0.010008045198099641	0.009395598524869639	0.008831262070109301	0.008325573413638297	0.007878563308083467	0.00748129284234155	0.0071194633386878195	0.0067776912138006054	0.006443135039622931	0.0061076876897076015	0.005768552044918682	0.005427442089611822	0.005088861889759952	0.004758027785985149	0.004439071165791488	0.004134101486229525	0.0038434060340385022	0.0035665567014037444	0.0033037304855520937	0.00305642611218886	0.0028270986941267696	0.0026178735018059307	0.0024290652282182587	0.0022583685121039827	0.002101204461535191	0.0019520465207048794	0.0018060278911294038	0.001660064291503643	0.0015131037497311396	0.0013656439076647187	0.0012189896228656863	0.0010747045765631652	0.0009344422158898968	0.0008000515921757974	0.0006737125845912427	0.0005578890828115522	0.0004550227868966621	0.00036703582077276034	0.0002948135378342406	0.00023787550887969372	0.00019440177633107652	0.00016166873141145734	0.00013679894491971074	0.00011760006146017634	0.00010321367374745526	9.433735150200517e-05	9.290297275333192e-05	0.00010125132274673602	0.00012099880766841085	0.00015192019412364828	0.00019123957802501962	0.0002336788393008221	0.00027241118290357815	0.00030072626235553044	0.0003138642603974872	0.0003103204468398028	0.0002920975504544855	0.0002638391997490254	0.0002312717626501552	0.00019963406289243718	0.00017266011737704874	0.00015230910331180713	0.00013905830856268892	0.00013239548469886928	0.00013120984116138425	0.00013397951342555636	0.00013883753488917391	0.00014367278939516256	0.0001463778245749464	0.00014524192938167129	0.00013937360717908726	0.00012897882444347903	0.00011535066329507582	0.00010053438122207215	8.67702324603808e-05	7.591256584773912e-05	6.90227062300109e-05	6.623620964687125e-05	6.687459770529008e-05	6.968956640731889e-05	7.313479804028668e-05	7.562632391470057e-05	7.580383984904662e-05	7.279282126579538e-05	6.640889012475215e-05	5.7209042027954624e-05	4.633098435235463e-05	3.51586378397228e-05	2.4941165641634988e-05	1.6511361524918443e-05	1.0188239385032858e-05	5.854479383951282e-06	3.1310075170025752e-06	1.5577568463507403e-06	7.207823031038969e-07	3.101031114742267e-07	1.2403437776336547e-07	4.6117706308185786e-08	1.593867603259866e-08	5.12005163043053e-09	1.5286890704646805e-09	4.2420561521688674e-10	1.0940545045314503e-10	2.6224175672880565e-11	5.842001168922313e-12	1.2095280905118427e-12	2.327357784788846e-13	4.1619999905782824e-14	6.917225472839661e-15	1.0684450063389969e-15	1.5337776947954726e-16	2.0462674672409038e-17	2.53718383630381e-18	2.923687153108301e-19	3.131116319851995e-20	3.1164257342230093e-21	2.882727541685249e-22	2.4782186375597913e-23	1.979998338066291e-24	1.4702094302705376e-25	1.0145716998175352e-26	6.506919573878527e-28	3.8784418441695714e-29	2.1484649621890136e-30	1.1060847683162314e-31	5.2922175796663735e-33	2.3532935924759403e-34	9.725314951023855e-36	3.7352560489704445e-37	1.3332949096359492e-38	4.423043436195391e-40	1.3636575694238594e-41	3.9073164918658525e-43	1.0404973847290891e-44	2.575090727814874e-46	5.92288385969016e-48	1.2660855085660122e-49	2.5152548704772334e-51	4.64397741316053e-53	7.968697455514297e-55	1.2707897919748649e-56	1.8834289261716395e-58	2.594262357793866e-60	3.3209909466842296e-62	3.951032741618267e-64	4.368604261085638e-66	4.48914797187248e-68	4.2872052536379476e-70	3.8051674319456124e-72	3.138791047494582e-74	2.4062468533364744e-76	1.7143800019344053e-78	1.135175853640589e-80	6.985674355848181e-83	3.9952381146641083e-85	2.123567837749754e-87	1.0490078776016049e-89	4.8159336998947934e-92	2.0548086664412934e-94	8.14800745200097e-97	3.0027597496295628e-99	1.0284398430981761e-101	3.273605491488475e-104	9.684181651621703e-107	2.662494094647648e-109	6.803047741246615e-112	1.6155020878770154e-114	3.565337672094467e-117	7.312787471653724e-120	1.3939730425512708e-122	2.469533591514452e-125	4.065974402488702e-128	6.221619997612615e-131	8.847721889442794e-134	1.1693609413623752e-136	1.4363320244367559e-139	1.6396465633642332e-142	1.739541451641228e-145	1.7151750890656763e-148	1.5717058812621757e-151	1.3385149788531571e-154	1.0594106447961063e-157	7.792818629419027e-161	5.327383290839917e-164	3.3847177532945715e-167	1.9985734508241594e-170	1.0967481435297118e-173	5.593489683654122e-177	2.6512331072822337e-180	1.1678905026683963e-183	4.781294324466526e-187	1.8191896223302045e-190	6.43279335733177e-194	2.1140262265496504e-197	6.456695129792175e-201	1.8327335479228418e-204	4.834788920390529e-208	1.1853452022477932e-211	2.7008552780533404e-215	5.719353243214851e-219	1.1255937345475512e-222	2.0587591995958917e-226
